s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.9503178E+001, 9.8224973E+001,-2.1032416E+001, 2.7808732E+000,-3.2298233E+001, 1.6972043E+000, 0.0000000E+000, 0.0000000E+000, 4.9230902E+001, 4.9372401E+001, 0.0000000E+000, 1.9708143E-003, 0.0000000E+000
 2.0002090E+001, 1.0091881E+002,-2.1454771E+001, 2.7075821E+000,-3.6703595E+001, 1.7031847E+000, 0.0000000E+000, 0.0000000E+000, 4.7131277E+001, 4.7171212E+001, 0.0000000E+000, 2.0769197E-003, 0.0000000E+000
 2.0500351E+001, 1.0916397E+002,-2.3560790E+001, 2.1455599E+000,-3.8918156E+001, 1.7779461E+000, 0.0000000E+000, 0.0000000E+000, 5.0752031E+001, 5.0608533E+001, 0.0000000E+000, 2.1853979E-003, 0.0000000E+000
 2.1002375E+001, 1.1463475E+002,-2.5107542E+001, 6.8015666E-001,-4.1505618E+001, 1.8164307E+000, 0.0000000E+000, 0.0000000E+000, 5.0428352E+001, 5.0518173E+001, 0.0000000E+000, 2.2970196E-003, 0.0000000E+000
 2.1503681E+001, 1.1732447E+002,-2.5608870E+001, 1.4138069E+000,-4.3349189E+001, 1.8745734E+000, 0.0000000E+000, 0.0000000E+000, 5.1407840E+001, 5.1654793E+001, 0.0000000E+000, 2.4117544E-003, 0.0000000E+000
 2.2002052E+001, 1.2580920E+002,-2.7808380E+001, 2.4362035E+000,-4.4737057E+001, 1.9317514E+000, 0.0000000E+000, 0.0000000E+000, 5.7549208E+001, 5.7631722E+001, 0.0000000E+000, 2.5288342E-003, 0.0000000E+000
 2.2502745E+001, 1.2502252E+002,-2.7770132E+001, 1.7869139E+000,-4.7457043E+001, 1.8926705E+000, 0.0000000E+000, 0.0000000E+000, 5.3350440E+001, 5.3474933E+001, 0.0000000E+000, 2.6485755E-003, 0.0000000E+000
 2.3000338E+001, 1.3679527E+002,-3.0247444E+001, 1.4960174E+000,-4.8614926E+001, 1.9505583E+000, 0.0000000E+000, 0.0000000E+000, 6.1121223E+001, 6.1379478E+001, 0.0000000E+000, 2.7710990E-003, 0.0000000E+000
 2.3503756E+001, 1.4079395E+002,-3.1882200E+001, 1.4405298E+000,-5.3400047E+001, 1.9169182E+000, 0.0000000E+000, 0.0000000E+000, 5.8817727E+001, 5.8869155E+001, 0.0000000E+000, 2.8966725E-003, 0.0000000E+000
 2.4004320E+001, 1.4870858E+002,-3.3765687E+001, 2.2045266E+000,-5.7499063E+001, 2.0333073E+000, 0.0000000E+000, 0.0000000E+000, 6.1926230E+001, 6.1681668E+001, 0.0000000E+000, 3.0315709E-003, 0.0000000E+000
 2.4502441E+001, 1.5947075E+002,-3.6677155E+001, 1.8369129E+000,-5.9671070E+001, 1.9516638E+000, 0.0000000E+000, 0.0000000E+000, 6.6749472E+001, 6.6911105E+001, 0.0000000E+000, 3.1782685E-003, 0.0000000E+000
 2.5001762E+001, 1.6081180E+002,-3.7015022E+001, 1.2300664E+000,-6.0339997E+001, 1.9339950E+000, 0.0000000E+000, 0.0000000E+000, 6.6147038E+001, 6.6620840E+001, 0.0000000E+000, 3.3174184E-003, 0.0000000E+000
 2.5502531E+001, 1.6558950E+002,-3.8371551E+001, 3.2635221E+000,-6.5230108E+001, 1.8618712E+000, 0.0000000E+000, 0.0000000E+000, 6.7231811E+001, 6.7113236E+001, 0.0000000E+000, 3.4526490E-003, 0.0000000E+000
 2.6003067E+001, 1.7894900E+002,-4.2404532E+001, 4.7560184E+000,-6.6979611E+001, 1.9805174E+000, 0.0000000E+000, 0.0000000E+000, 7.5912812E+001, 7.6301392E+001, 0.0000000E+000, 3.6013245E-003, 0.0000000E+000
 2.6500950E+001, 1.8598174E+002,-4.3721074E+001, 4.8050432E+000,-7.1607585E+001, 1.9242021E+000, 0.0000000E+000, 0.0000000E+000, 7.6990076E+001, 7.7382327E+001, 0.0000000E+000, 3.7672018E-003, 0.0000000E+000
 2.7000652E+001, 1.9139859E+002,-4.6102427E+001, 3.7456205E+000,-7.3315683E+001, 1.9924148E+000, 0.0000000E+000, 0.0000000E+000, 7.7724932E+001, 7.7718513E+001, 0.0000000E+000, 3.9049215E-003, 0.0000000E+000
 2.7500818E+001, 1.9875237E+002,-4.7001409E+001, 2.9050877E+000,-7.7278396E+001, 2.1180629E+000, 0.0000000E+000, 0.0000000E+000, 7.9798668E+001, 7.9495714E+001, 0.0000000E+000, 4.0703243E-003, 0.0000000E+000
 2.8002621E+001, 2.0838571E+002,-5.0740088E+001, 2.6664175E+000,-8.0808624E+001, 2.0782714E+000, 0.0000000E+000, 0.0000000E+000, 8.1270725E+001, 8.1581690E+001, 0.0000000E+000, 4.2346369E-003, 0.0000000E+000
 2.8503849E+001, 2.2004902E+002,-5.3341405E+001, 4.1605103E+000,-8.6236328E+001, 2.2471003E+000, 0.0000000E+000, 0.0000000E+000, 8.6846257E+001, 8.6878893E+001, 0.0000000E+000, 4.4210950E-003, 0.0000000E+000
 2.9002769E+001, 2.2851884E+002,-5.6464878E+001, 3.3510683E+000,-9.0101694E+001, 2.3327569E+000, 0.0000000E+000, 0.0000000E+000, 8.7520341E+001, 8.7636089E+001, 0.0000000E+000, 4.5905865E-003, 0.0000000E+000
 2.9501528E+001, 2.2640916E+002,-5.5711710E+001, 9.7728345E-001,-9.0924141E+001, 2.1794535E+000, 0.0000000E+000, 0.0000000E+000, 8.2694904E+001, 8.2930044E+001, 0.0000000E+000, 4.7504695E-003, 0.0000000E+000
